Artillery Company of Newport,"23 Clark Street
Agricultural Heritage Museum,"102 City Park Road
Boerne, TX 78006
", 830-537-5509,,, www.agmuseum.us/,"Culture,General,History,Historic House,Park,Specialized,,Services,Special Event RentalGroup Tours,","Gary Luxon, President",e-mail: gary_luxon@gvtc.com,,
Air Education and Training Command Museums,"100 H. Street Ste 05
Randolph AFB, TX 78150
", 210-652-6564, 210-652-4319,, www.aetc.af.mil/library/history/aetcheritageprogram/,,,
Air Intelligence Agency Heritage Hall,"102 Hall Blvd.
San Antonio, TX 78243
", 210-977-2303, 210-977-2390, aiaho@mail.aia.af.mil,,,Dr. Paul M. Smith,,,
Alabama-Coushatta Indian Museum,"U.S. Highway 190
Livingston, TX 77351
", 936-563-1100,,, www.ac-tribe.com,"Anthropology,Archaeology,Culture,General,History,Nature Centers,Specialized,",Roland A. Poncho,,,
The Alamo,"300 Alamo Plaza
San Antonio, TX 78205
", 210-225-1391, 210-354-3602, alamochair@thealamo.org, www.thealamo.org,"History,Historic House,","Dr. Bruce Winders, Curator & Historian",phone: 210-225-1391 x27,e-mail: bwinders@thealamo.org,,
"Albert B. Alkek Library, Special Collections","601 University Drive
San Marcos, TX 78666
", 512-245-2313, 512-245-7421, library@txstate.edu, www.library.txstate.edu/,"Library,",Connie Todd,,"Joan Heath, Associate V.P",phone: 512-245-2133,,
Algerita Art Center,"129 East Main
Post, TX 79356
",,,,,"Art,",,
Allan Shivers Library &  Museum,"302 North Charlton
Woodville, TX 75979
", 409-283-3709, 409-283-5258, ashivers.library@yahoo.com, www.allanshiverslibrary.com,"History,Historic House,Specialized,",Rosemany Bunch,,,
Alvin Museum Society,"300 W Sealy St
Alvin, TX 77511
", 281-331-4469,, alvinms@att.net, www.alvinmuseum.org,"General,History,Historic House,Historical Society,,Services,Gift ShopGroup Tours,",,
Amarillo College Natural History Museum,"North end of Ordway Hall
Amarillo, TX 79178
", 806-371-5884, 806-345-5571, porter-da@actx.edu,,"Natural History,",Dan Porter,,,
Amarillo Museum of Art,"2200 South Van Buren
Amarillo, TX 79109
", 806-371-5050, 806-373-9235, amoa@actx.edu, www.amarilloart.org/,"Art,University,","Graziella Marchicelli, Director / Chief Curator",,"Kim Mahan, Deputy Director / Financial & Education Services",,"Alex Gregory, Registrar / Collections Manager",,"Kay Kennedy, Director of Development",,"Charlie Vaughan, Assistant Curator of Education",,"Julie Talley, Museum Teacher",,"Erin Holland, Graphic Designer / Office Manager",e-mail: amoa@actx.edu,,
"American Airlines, C.R. Smith Museum","4601 Hwy 360 at FAA Road
Fort Worth, TX 76155
", 817-967-5905, 817-967-5737,, www.crsmithmuseum.org,"Specialized,",Jay Luippold,,,
American Cotton Museum,"600 I-30 East, Paul Mthews Drive
Greenville, TX 75403
", 903-450-4502, 903-454-1990, visit@cottonmuseum.com, www.cottonmuseum.com/,"History,Historic House,Specialized,","Susan Lanning, President & CEO",,"Linda Owens, Assistant Director",,,
American Quarter Horse Hall of Fame & Museum,"2601 I-40 East
Amarillo, TX 79104
", 806-376-5181, 806-376-5807, museum@aqha.org, www.quarterhorsemuseum.com,"History,Specialized,,Services,Gift ShopOnline Gift Shop,Special Event Rental,","Ross Middleton, Director",phone: 806-376-5181,e-mail: rmiddleton@aqha.org,"Crystal Phares, Curator of Collections",phone: 806-376-5181,e-mail: cphares@aqha.org,"Nichole Dalrymple, Department Secretary",phone: 806-376-5181,e-mail: museum@aqha.org,"Chris Sitz, Senior Director of Development and Advancement Services ",phone: 806-376-5032,e-mail: csitz@aqha.org,"Dana Railsback, Director of Quarter Horse Outfitters",phone: 806-376-5042,e-mail: drailsback@aqha.org,,
American Wind Power Center,"1701 Canyon Lake Dr
Lubbock, TX 79408
", 806-747-8734, 806-740-0668,, www.windmill.com,,"Coy Harris, Executive Director",,,
AMOA-Arthouse,"The Jones Center
700 Congress Avenue
Austin, TX 78701
", 512-453-5312,, info@amoa-arthouse.org, www.amoa-arthouse.org,"Art,Culture,General,History,,Services,Special Event Rental,","Meg Floryan, Marketing & PR Associate",phone: 512-453-5312 x133,e-mail: mfloryan@amoa-arthouse.org,,
Amon Carter Museum of American Art,"3501 Camp Bowie Blvd.
Fort Worth, TX 76107
", 817-738-1933, 817-989-5079, publications@cartermuseum.org, cartermuseum.org,"Art,,Services,Gift ShopOnline Gift Shop,Cafe/RestaurantGroup Tours,","Lori Eklund, Chief Operations Officer",phone: 817-989-5034,e-mail: lori.eklund@cartermuseum.org,"Andrew Walker, Director",phone: 817-989-5092,e-mail: andrew.walker@cartermuseum.org,"Randy Ray, Chief Financial Officer",phone: 817-989-5093,e-mail: randy.ray@cartermuseum.org,"Marci Driggers Caslin, Registrar",phone: 817-989-5172,e-mail: marci.caslin@cartermuseum.org,,
Annie Riggs  Memorial Museum; Fort Stockton Historical Society,"301 South Main
Fort Stockton, TX 79735
", 432-336-2167,, annieriggs@sbcglobal.net, www.annieriggsmuseum.com,"Archaeology,Art,Botanical Garden,Culture,General,History,Historic House,Historical Society,Nature Centers,,Services,Gift ShopGroup Tours,","Jennifer Justison, Director",e-mail: annieriggs@sbcglobal.net,"Martha King, Curator",,,
Antique Tractor Museum,"5327 N. Central Expressway, Ste 315
Dallas, TX 75205
",,,,,,,
Archer County Museum,"Old County Jail
Archer City, TX 76351
", 940-423-6426,,, www.co.archer.tx.us/ips/cms,"General,",,
Arlington Museum of Art,"201 W. Main Street
Arlington, TX 76010
", 817-275-4600, 817-394-2030,, www.arlingtonmuseum.org,"Art,","Joan Davidow, Director",,"Sean Slattery, Museum Manager/Assistqant Curator",,"Keitha Lowrance, Education Coordinator",,"Kathy Helal, Assistant Director",,"Derrick White, Program Coordinator",,,
Armand Bayou Nature Center,"8500 Bay Area Blvd.
Houston, TX 77258
", 281-474-3748, 281-474-2552,, www.abnc.org/,"Nature Centers,","Tom Kartrude, Executive Director",,,
Armstrong County Museum,"120 N. Trice Street
Claude, TX 79019
", 806-226-2187, 806-226-3111, armctymus@windstream.net, www.searchtexas.com,"History,",Roy M. Rutherford,phone: 806-226-2451,,
Art Center Waco,"Art Center Waco
1300 College Drive
Waco, TX 76710
", 254-752-4371, 254-752-3506, info@artcenterwaco.org, www.artcenterwaco.org,"Art,","Marla Sillavant, Education Director",phone: 254-752-4371,"Mark Arnold, Executive Director",phone: 254-752-4371,e-mail: director@artcenterwaco.org,"Jennifer Warren, Business Office Manager",phone: 254-752-4371,e-mail: officemanager@artcenterwaco.org,"Barb Alvarez, Tour Coordinator",phone: 254-752-4371,,
Art League of Houston,"1953 Montrose Blvd.
Houston, TX 77006
", 713-523-9530, 713-523-4053,, www.artleaguehouston.org/,"Art,","Glenn Weiss, Executive Director",e-mail: glenn@ArtLeagueHOUSTON.org,,
Art Museum of South Texas,"1902 N. Shoreline Blvd.
Corpus Christi, TX 78401
", 361-825-3500, 361-825-3520,, www.stia.org,"Art,","Mr. Joseph B. Schenk, Museum Director",,"Deborah Fullerton, Associate Curator",,"Cindy Anderson, Marketing/Media Relations",,,
Art Museum of Southeast Texas,"500 Main Street
Beaumont, TX 77701
", 409-832-3432, 409-832-8508, info@amset.org, www.amset.org,"Art,","Lynn P. Castle, Executive Director",,"Ray Daniel, Curator of Exhibitions & Collections",,"Sandra Laurette, Curator of Education",,"Andy Gardner, Assistant Curator of Education",,"Janet Dugas, Administrator of Finance and Personnel",,"Liz Gorris, Assistant to the Director",,"Kathy Boudreaux, Guest Services/Facilities Rental",,"Janna Fulbright, Public Relations",,"Clint Ray, Building & Grounds Supervisor",,,
"Art Pace, A Foundation for Contemporary Art","445 N. Main Avenue
San Antonio, TX 78205
", 210-212-4900, 210-212-4990, info@artpace.org, www.artpace.org,"Art,",,
"The Art Studio, Inc.","720 Franklin Street
Beaumont, TX 77701
", 409-838-5393,, artstudio@artstudio.org, www.artstudio.org,"Art,",Greg Busceme,,,
Aston Villa,"2328 Broadway
Galveston, TX 77550
", 409-762-3933, 409-765-7851,, www.galvestonhistory.org,"Historic House,",Christy Carl,,,
Austin Children's Museum,"201 Colorado
Austin, TX 78701
", 512-472-2499, 512-472-2495, sconcec@austinkids.org, www.austinkids.org/,"Children's,","Michael J. Nellis, Executive Director",,"Rebecca Jones, Director of Education",,"Erich Rose, Exhibits Manager",,"Lisa Avra, Director of Development",,"Julie Almaguer, Marketing and Communications Manager",,,
Austin History Center,"810 Guadalupe ST.
Austin, TX 78701
", 512-499-7480, 512-499-7483, ahc_reference@ci.austin.tx.us, www.ci.austin.tx.us,"Library,","Biruta Celmins Kearl, Admin. & Archivist",,"Amalia Rodriquez-Mendoza, President",,"Karla Keeton-Page, Exec. Sec.",,,
Austin Museum of Digital Art,"809 E. 44th Street
Austin, TX 78751
", 512-453-8077,,, www.amoda.org,"Art,",Jennifer Potter,,,
Austin Nature and Science Center,"301 Nature Center Drive
Austin, TX 78746
", 512-327-8181, 512-327-8745,, www.ci.austin.tx.us/ansc,"Children's,Nature Centers,Science,Zoo,","Sherry Winnette, Education Coordinator",,"Clark Hancock, Exhibit Development",,"Michael Adair, Exhibit Specialist",,"Janice Sturrock, Group Programs Coordinator",,"Elizabeth McVeety, Landscaping Specialist",,"Juan Valera, NR Division Manager",,"Rachel Anderson, Programs Instructor Specialist",,,
The Azle Historical Museum,"124 W. Main Street
Azle, TX 76098
", 817-444-1112,,, www.cityofazle.org/index.aspx?nid=213,"History,",,
B-RI Railroad and Heritage Museum,"B-RI Railroad and Heritage Museum
Third Street and Elm
Teague, TX 75860
", 254-739-2645,,, www.therailroadmuseum.com,"History,Historical Society,",H.A. Ellisor,,"Ginny Folsom, curator/secretary",phone: 254-739-3411,e-mail: adlady@glade.net,,
Babe Didrickson Zaharias Museum,"IH 10, East MLK Exit
Beaumont, TX 77703
", 409-833-4622, 409-880-3750,, www.babedidricksonzaharias.org/memorial.htm,"History,",,
Barbers Hill/Mont Belvieu Museum,"11697 Eagle Drive
Mont Belvieu, TX 77580
", 281-385-1706, 281-385-2104, wfarrell@montbelvieu.net,," am-2pm - Tues.. Thurs. &  2nd Sat.   ,AdmissionsFree","Walter Farrell, Director",phone: 281-385-1706,"J E Farrell, Parks Director",phone: 281-576-6147,"Loretta Dixon, Activities Director",phone: 281-385-6200,,
Barnard's Mill and Art Museum,"307 S.W. Barnard St.
Glen Rose, TX 76043
", 888-346-6282,,, www.barnardsmill.org,"Art,Culture,History,Specialized,","Joan Echols  Taylor, VP, Somervell History Foudation",e-mail: jtaylor068@charter.net,,
Barrington Living History Farm,"21300 Park Rd. 12
Washington, TX 77880
", 936-878-2214,, barrington1850@earthlink.net, www.tpwd.state.tx.us/spdest/findadest/parks/barrington_farm/,"Historic House,",Bill Irwin,,,
Barrow Foundation Museum,"Highway 765 Private Road 1459
Eola, TX 76937
", 325-469-3361,, barrowmuseum@aol.com,,"Archaeology,General,History,Military,Science,","Gary Glass, General Manager",phone: 325-234-8666,,
Barton Warnock Environmental Education Center,"HC 70, Box 375
Terlingua, TX 79852
", 915-424-3327, 915-424-3404,, www.tpwd.state.tx.us/spdest/findadest/parks/barton_warnock,"Specialized,",,
Bastrop County Historical Society Museum,"702 Main
Bastrop, TX 78602
",,,,,"History,Historical Society,","Barbara Vana, Museum Administrator",phone: 512-303-0057,e-mail: bchs1832@sbcglobal.net,,
Battleship Texas State Historical Site,"3527 Battleground Road
La Porte, TX 77571
", 281-479-2431, 281-479-5618,, www.tpwd.state.tx.us/park/battlesh/,"History,Military,","Andy Smith, Ship Manager",phone: 281-479-2431 x236,e-mail: andy.smith@tpwd.state.tx.us,"Janice Sniker, Collections Manager",phone: 281-479-2431 x239,e-mail: janice.sniker@tpwd.state.tx.us,"Rusty Bloxom, Site Historian",phone: 281-479-2431 x238,e-mail: raymond.bloxom@tpwd.state.tx.us,,
Bay Area Heritage Society,"604 Park Street
Baytown, TX 77572
", 281-427-8768, 281-420-9029,, www.laportetxheritage.org,"History,",Wanda Ellis,,,
Bayer Museum of Agriculture,"1121 Canyon Lake Dr.
Lubbock, TX 79408
", 806-744-3786,, director@agriculturehistory.org, agriculturehistory.org/,"Culture,General,History,Historic House,Science,,Services,Gift ShopSpecial Event Rental,Group Tours,",Donald Abbe,,,
Bayless-Selby House,"317 West Mulberry Street
Denton, TX 76201
", 940-349-2865,, officeofhistoryandculture@dentoncounty.com, www.dentoncounty.com/chos,"Culture,History,Historic House,,Services,Group Tours,","Peggy Riddle, Museum Director",phone: 940-349-2852,e-mail: peggy.riddle@dentoncounty.com,"Gretel L'Heureux, Education and Tour Coordinator ",phone: 940-349-2853,,
Bayou Bend Collections and Gardens,"6003 Memorial Drive at Westcott Street
Houston, TX 77019
", 713-639-7750, 713-639-7799, bayoubend@mfah.org, www.mfah.org/visit/bayou-bend-collection-and-gardens/,"Arboretum,Art,Historic House,",,
Baytown Historical Preservation Association,"5117 North Main Street
Baytown, TX 77522
", 281-421-2099,, info@baytownhistory.org, www.baytownhistory.org,"Culture,History,Historic House,Historical Society,Park,,Services,Online Gift ShopSpecial Event Rental,Group Tours,","Wybra Holland, President",phone: 281-421-2099,e-mail: info@baytownhistory.org,,
Beaumont Heritage Society,"3025 French Road
Beaumont, TX 77706
", 409-898-0348, 409-898-8487, jjfrench@sbcglobal.net, jjfrench.com,"Historical Society,","Darlene Chodzinski, Executive Director",phone: 409-898-0348,e-mail: chambershse@sbcglobal.net,"Alicia Strahan, Administrative Assistant",phone: 409-898-0348,"Linda Purves, Education Coordinator",phone: 409-898-0348,,
Beeville Art Museum,"401 E. Fannin
Beeville, TX 78102
", 361-358-8615,, barnhartfoundation@gmail.com, www.BAMTexas.org,"Art,Culture,General,Park,","Tracy Saucier, Director",phone: 361-358-8615,e-mail: barnhartfoundation@gmail.com,"Elizabeth Mylnar, Museum Contact",e-mail: bamcoordinator@sbcglobal.net,,
Bell County Museum,"201 N. Main
Belton, TX 76513
", 254-933-5243, 254-933-5756, museum@co.bell.tx.us, www.bellcountytx.com/Museum,"History,Historic House,","Stephanie Turnham, Director",phone: 254-933-5243,e-mail: stephanie.turnham@co.bell.tx.us,"Amanda Thompson Dyer, Curator",phone: 254-933-5243,"Adrienne Lilley, Program Coordinator",phone: 254-933-5741,"Candice Thaler, Museum Assistant",phone: 254-933-5243,e-mail: candice.thaler@co.bell.tx.us,,
Big Bend National Park,"Hwy 385 From Marathon
Big Bend, TX 79834
", 915-477-2251, 915-477-2357,, www.big.bend.national-park.com/,"Park,",,
Big Thicket National Preserve,"3785 Milam Street
Beaumont, TX 77701
", 409-951-6700, 409-951-6714,, www.nps.gov/bith/contacts.htm,"History,Natural History,",Robert Valen,,,
The Bishop's Place,"1402 Broadway
Galveston, TX 77550
", 409-762-2475, 409-762-1801, foundation@galvestonhistory.org,,"Historic House,",,
"Blaffer Gallery, The Art Museum of the University of Houston","120 Fine Arts Building, entrance #16 off Cullen Blvd.
Houston, TX 77004
", 713-743-9525, 713-743-9530, kzicterman@uh.edu, www.blaffergallery.org,"Art,University,","Ms. Claudia Schmuckli, Director and Chief Curator",phone: 713-743-9522,e-mail: cschmuckli@uh.edu,"Jeffrey Bowen, Assistant Director of External Affairs",phone: 713-743-9528,e-mail: jbowen2@uh.edu,"Youngmin Chung, Registrar ",phone: 713-743-9562,e-mail: ychung@uh.edu ,"Susan Conaway, Director of External Affairs ",phone: 713-743-9537,e-mail: seconaway@uh.edu ,"Rachel Hooper, Associate Curator",phone: 713-743-2043,e-mail: rlhooper@uh.edu,"Ms. Karen Zicterman, Museum Administrator ",e-mail: kzicterman@uh.edu ,,
The Blanton Museum of Art,"MLK at Congress Avenue
Austin, TX 78701
", 512-471-7324, 512-471-7023, info@blantonmuseum.org, www.blantonmuseum.org,"Art,Library,",Jesse Otto Hite,,"Brady  Dyer, Public Relations and Marketing Coordinator",phone: 512-232-5171,e-mail: brady.dyer@blantonmuseum.org,,
Blue Star Art Space/ Contemporary Art for San Antonio,"116 Blue Star
San Antonio, TX 78204
", 210-227-6960, 210-229-9412, bill@bluestarart.org, www.bluestarartspace.org/,"Art,","Bill Fitz Gibbons, President/ Executive Director",e-mail: bill@bluestarart.org,"Emily Barker, Membership & Community Outreach Coordinator",e-mail: emily@bluestarart.org,,
Bob Bullock Texas State History Museum,"1800 N. Congress Avenue
Austin, TX 78701
", 512-936-8746, 512-936-4699, contactus@TheStoryofTexas.com, www.thestoryoftexas.com,"History,","Laura Hall, Head of Visitor Services",e-mail: laura.hall@thestoryoftexas.com,,
Boerne Area Historical Preservation Society,"Boerne, TX 78006
", 210-249-2030,,, www.rootsweb.ancestry.com/~txbahps/,"Historical Society,","Betsy Sueltenfuss, President",,,
"Boerne Public Library, Historical Research Section","451 N. Main St.
Building 100
Boerne, TX 78006
", 830-249-3053, 830-249-8410,, www.ci.boerne.tx.us,"Library,","Kelly Skovbjerg, Library Director",e-mail: skovbjerg@boernelibrary.org,,
Bolin Wildlife Exhibit and Antique Collection,"1028 N. McDonald
McKinney, TX 75069
", 972-562-2639,,,,"History,Natural History,",Jerry Bolin,,,
Bolivar Hall,"418 Villita
San Antonio, TX 78205
", 210-224-6163, 210-224-6168, bmacdougal@saconservation.org, www.saconservation.org,"History,",Burce MacDougal,,,
Bosque Memorial Museum,"301 South Avenue Q
Clifton, TX 76634
", 245-675-3845,,, www.bosquemuseum.org,"History,Natural History,",Geroge Larson,phone: 254-675-8898,"Ginger Childress, Receptionist",phone: 214-675-3845,,
Brass Lamp Auto Museum - CLOSED,"701 N. Grant Street
Odessa, TX 79760
",,,,,"Specialized,",,
Brazoria County Historical Museum,"100 E. Cedar
Angleton, TX 77515
", 979-864-1208, 979-864-1217, director@bchm.org, www.bchm.org/,"History,Library,,Services,Gift ShopSpecial Event Rental,Group Tours,","Michael Bailey, Curator",e-mail: curator@bchm.org,"Jackie Haynes, Director",phone: 979-864-1208,"Jamie Murray, Information Resources and Programs Coordinator",phone: 979-864-1208,"Joyce McHam, Office Manager",phone: 979-864-1208,"Rose Olivares, Visitor Information Manager",phone: 979-864-1208,"Bruce Taylor-Hille, Program Coordinator",phone: 979-864-1208,"Herb Boykin, Store Manager",phone: 979-864-1208,"Tara Wandel, Library Assistant",phone: 979-864-1208,e-mail: research@bchm.org,,
Brazoria Historical Museum,"202 W. Smith Street
Brazoria, TX 77422
", 979-236-0241,, tissie@quikheal.com, brazoriahf.org,"Arboretum,Botanical Garden,Culture,History,Library,Military,Nature Centers,,Services,Gift ShopSpecial Event Rental,Cafe/RestaurantGroup Tours,","Shirley Spearow,  Committee Chairman",e-mail: sspearow@coastal-link.net,"Robert Schwebel, President",phone: 979-236-0241,,
Brazos Heritage Society,"Bryan, TX 77806
", 409-774-4079,,, www.brazosheritage.org,"Historical Society,",,
Brazos Valley African American Museum,"500 E. Pruitt St.
Bryan, TX 77803
", 979-775-3961,, bvaam@verizon.net, www.bvaam.org,"Art,Church,Culture,General,History,Library,","Donna Pittman, Executive Director",phone: 979-775-3961,e-mail: donna.pittman_bvaam@verizon.net,"Velma Spivey, Director",phone: 979-775-3961,e-mail: bvaam@verizon.net,"Wayne Sadberry, Curator",phone: 979-775-3961,e-mail: owsadberry@yahoo.com,,
Brazos Valley Museum of Natural History,"3232 Briarcrest Drive
Bryan, TX 77802
", 979-776-2195,, info@brazosvalleymuseum.org, www.brazosvalleymuseum.org,"Anthropology,Archaeology,Children's,Culture,General,History,Natural History,Science,,Services,Gift Shop,","Dr. Deborah  F. Cowman, Executive Director",e-mail: dcowman@brazosvalleymuseum.org,"Maria  Lazo, Associate Director",e-mail: education@brazosvalleymuseum.org,"Elizabeth  Manning, Curator of Collections",e-mail: EManning@brazosvalleymuseum.org,,
Brazosport Museum of Natural Science,"400 College Blvd
Clute, TX 77531
", 979-265-7831,, bmns@bcfas.org, www.bmns.org,"General,History,Natural History,Specialized,","Johnney Pollan, Curator of Archaeology",phone: 979-265-7831,"Freida White, Curator Malacology",phone: 979-265-7831,"James L. Smith, Curator of Wildlife",phone: 979-265-7831,"Sharon McKey, Education Coordinator",phone: 979-265-7831,"Wanda Coker, Docent Coordinator",phone: 979-265-7831,"Brian Miles, Curator of Paleontology",phone: 979-265-7831,"Wayne Humbird, President",phone: 262-653-4141,e-mail: kenoshapublicmuseum@yahoo.com,,
Breckenridge Aviation Museum,"Stephens County Airport
Breckenridge, TX 76424
", 254-559-2515, 254-559-7556,, www.breckenridgetexas.com/attractiondetail.asp?aid=5,"Specialized,",,
Brenham Heritage Museum,"105 S Market St.
Brenham, TX 77833
", 979-830-8445,,, www.brenhamheritagemuseum.org,"Culture,History,","Zeb Heckmann, Chairman",,"Kay Sanders, Vice Chairman",,"Douglas Scot Price, Executive Director",e-mail: director@brenhamheritagemuseum.org,,
"Brown County Museum of History, Inc.","212 N Broadway St
Brownwood, TX 76801
", 915-646-0643,, JMDEHAY@aol.com, www.browncountyhistory.org/bcmoh.html,"History,",Jerry DeHay,,,
Brownsville Historical Association,"1325 E. Washington Street
Brownsville, TX 78520
", 956-541-5560,, info@brownsvillehistory.org, www.brownsvillehistory.org,"Cemetery,History,Historic House,Historical Society,Library,,Services,Gift ShopSpecial Event Rental,Group Tours,","Priscilla Rodriguez, Director",phone: 956-554-4965,e-mail: prodriguez@brownsvillehistory.org,"Ayla Jaramillo, Collections Manager",phone: 956-546-4242,e-mail: ajaramillo@brownsvillehistory.org,"Craig Stone, Program & Education Coordinator",phone: 956-541-5560,e-mail: cstone@brownsvillehistory.org,"Eugene Fernandez, Old City Cemetery Coordinator",phone: 956-541-1167,e-mail: efernandez@brownsvillehistory.org,,
Brownsville Museum of Fine Art,"660 East Ringgold
Brownsville, TX 78520
", 956-542-0941, 956-542-7094, bamuseum@aol.com,,"Art,",,
Brush Country Museum,"201 S. Stewart
Cotulla, TX 78014
", 830-879-2429,, wm1@historicdistrict.com, www.historicdistrict.com/museum,"History,",Nora Mae Tyler,,"Tom Graham, Webmaster",e-mail: wm1@historicdistrict.com ,,
Bryan Texana Foundation,"1331 Lamar, Suite 1450
Houston, TX 77010
", 713-753-1300, 713-756-1855,,,"History,Library,","Laura Lee, Art Curator",phone: 713-753-1284,e-mail: laura.lee@teai.com,,
Buckhorn Saloon and Museum,"318 E. Houston St.
San Antonio, TX 78205
", 210-247-4002, 210-247-4020,, buckhornmuseum.com/,"History,Natural History,",,
Buddy Holly Center,"1801 Crickets
Lubbock, TX 79401
", 806-775-3560,, info@buddyhollycenter.org, www.buddyhollycenter.org,"Art,Culture,General,History,Specialized,","Brooke Witcher, Managing Director",phone: 806-775-3560,e-mail: bwitcher@mail.ci.lubbock.tx.us,"Jacqueline Bober, Curator",phone: 806-775-3560,e-mail: jbober@mail.ci.lubbock.tx.us,"David Seitz, Gift Shop Manager",phone: 806-775-3560,e-mail: dseitz@mail.ci.lubbock.tx.us,"Lisa Howe, Education Coordinator",phone: 806-775-3560,e-mail: lhowe@mail.ci.lubbock.tx.us,"Vassandra Okoruwa, Marketing & Event Coordinator",phone: 806-775-3560,e-mail: vokoruwa@mail.ci.lubbock.tx.us,"Sarah Collins, Curatorial Assistant",phone: 806-775-3560,e-mail: scollins@mail.ci.lubbock.tx.us,"Trish Kendrick, Administrative Assistant",phone: 806-775-3560,e-mail: tkendrick@mail.ci.lubbock.tx.us,,
Buffalo Gap Historic Village,"Buffalo Gap, TX 79508
", 915-572-5212, 915-793-3866, dfrazier@mcm.edu, www.mcwhiney.org,"Art,History,Historic House,Library,Natural History,","Dr. Donald Frazier, Executive Director",phone: 915-793-3861,"Dr. Robert Pace, Director of Educational Programs",phone: 915-793-3865,"Dr. David Coffey, Managing Editor, McWhiney Foundation Press",phone: 915-793-4862,"Dr. Mary Lee Bartlett, Archaeologist & Curator of Collections",phone: 915-793-4699,,
Buffalo Soldiers National Museum,"1834 Southmore Blvd
Houston, TX 77004
", 713-942-8920,, captainmatthews@sbcglobal.net, www.buffalosoldiermuseum.com,"Culture,General,History,Historic House,Library,Military,Specialized,,Services,Gift ShopSpecial Event Rental,Group Tours,","Paul J.  Matthews, Founder & CEO",e-mail: captainmatthews@sbcglobal.net,"Dr. Franklin D.B. Jackson, Historian",,,
Burleson County Historical Museum,"Burleson County Courthouse
Caldwell, TX 77836
", 409-567-4326,,,,"History,",Bill Glesenschlag,,,
Burton Cotton Gin and Museum,"307 North Main
Burton, TX 77835
", 409-289-3378,, bcottongin@comwerx.net, www.cottonginmuseum.org,"History,Specialized,",Todd D. Stockwell,,,
"Burton Heritage Society, The Burton Depot","507 N Railroad Street
Burton, TX 77835
", 979-251-4078,, burtondepot@burtonheritagesociety.org, www.burtonheritagesociety.org,"Culture,History,Specialized,,Services,Gift Shop,","Susan S. Kiel, Secretary",phone: 979-251-4078,e-mail: kielgoose@hughes.net,,
Bywaters Collection Special Collections,"The Jake and Nancy Hamon Arts Library , Southern Methodist University
6100 Hillcrest Avenue
Dallas, TX 75275
", 214-768-2303, 214-768-1800, sratclif@mail.smu.edu, www.smu.edu/cul/hamon/collections/bywaters.htm,"Art,Library,University,",,
C.S. Roberts House and Sherman Preservation League,"915 S. Crockett Street
Sherman, TX 75090
", 903-893-4067,, info@shermantx.org, www.shermanpreservationleague.org,"Culture,History,Historic House,","Scott Totten, Director",phone: 903-893-4067,e-mail: stotten@verizon.net,,
Caddoan Mounds State Historic Site,"1649 State Hwy. 21 West
Alto, TX 75925
", 409-858-3218, 409-858-3227, caddo-mounds@thc.state.tx.us, www.visitcaddomounds.com/index.aspx?page=2,"History,","Jennifer L. Price, Site Manager",,,
CAF Airpower Museum,"9600 Wright Dr.
Midland, TX 79706
", 432-563-1000, 432-567-3047, jwood@aahm.org, www.airpowermuseum.org/,"History,Library,Military,Specialized,,Services,Gift ShopOnline Gift Shop,Special Event RentalGroup Tours,","Jeff Wood, Executive Director",e-mail: jwood@aahm.org ,"Leah Block, Dir. of Creative Services and Merchandise",e-mail: lblock@cafhq.org,"Clay Francell, Director of Education",e-mail: cfrancell@cafhq.org,"Autumn Hicks, Director of Marketing & Public Relations",e-mail: ahicks@cafhq.org,"Kevin Dawson, Education Coordinator",e-mail: kdawson@aahm.org,"Karra O'connell, Registrar",e-mail: koconnell@aahm.org,"Darrell Sanders, Patron Services Specialist",e-mail: dsanders@aahm.org,"Janet Tilley, Research Specialist",e-mail: jtilley@aahm.org,,
Calaboose Black History Museum,"200 Martin Luther King
San Marcos, TX 78666
",,,, sanmarcosarts.com/gallery.htm,"Culture,History,Specialized,","Linda Kelsey-Jones, Event Coordinator",phone: 512-754-7946,e-mail: LKJ@centurytel.net,"Margie Villalpondo, Treasurer",phone: 512-353-1383,"Richard Gachot, Architectural Consultant",phone: 512-396-7526,Josie Mack,phone: 512-392-4134,"Ollie Giles, Research Consultant",phone: 512-396-1359,"Mrs. Johnnie Armstead, Founder / Director",phone: 512-353-0124,e-mail: Armstead@Yahoo.com,,
Caldwell Zoo,"2203 W. Martin Luther King
Tyler, TX 75702
", 903-593-0121, 903-592-0351, info@caldwellzoo.org, www.caldwellzoo.org,"Zoo,",,
Calhoun County Historical Museum,"301 S. Ann
Port Lavaca, TX 77979
", 512-553-4689,, director@calhouncountymuseum.org, www.calhouncountymuseum.org,"History,","George Anne  Cormier, Director",e-mail: director@calhouncountymuseum.org,,
Callahan County Pioneer Museum,"100 W. 4th , B1
Baird, TX 79504
", 915-854-1718, 915-854-1227,,,"History,",,
Cameron Park Zoo,"1701 N. 4th Street
Waco, TX 76707
", 817-750-8499, 817-754-8430, specialevents@cameronparkzoo.com, www.cameronparkzoo.com/,"Zoo,",,
Capitol Visitors Center,"Capitol Visitors Center
112 E. 11th Street
Austin, TX 78701
